Transparency Data ,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Professor P Macnaghten,13931085,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Professor Mark Lewis,34175916,320,GBP
BIS,EPSRC,01/12/2014,Other services,Programme Delivery CAST,University College Falmouth,42432391,160,GBP
BIS,EPSRC,01/12/2014,Other services,Programme Delivery CAST,University of Huddersfield,42432452,2480,GBP
BIS,EPSRC,01/12/2014,Other services,Programme Delivery CAST,University of the Highlands and Islands,42432476,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Peter Pietzuch,45446942,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Dr David J Clark,45446944,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Charlotte Williams,52837383,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Rahim Tafazolli,52889710,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Professor John Carroll,53334061,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,MICHAEL NORTH,56763062,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Professor P J Dobson,56763063,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Prof Chris Lawn,56763064,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,ROBIN IRONS,56763065,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Xi Jiang,56763067,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Dr Jan R R Verlet,58960064,160,GBP
BIS,EPSRC,01/12/2014,Fees (Including College Members),Admin External Panel Member payments,Douglas Cleaver,58981064,160,GBP
