Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/10/2014,Photocopy Costs,JRS,Oce (UK) Ltd,57472062,90,GBP
BIS,EPSRC,01/10/2014,Other Staff Benefits,EPSRC Corporate Services,Oasis Operations Ltd,63334061,575.45,GBP
BIS,EPSRC,01/10/2014,Consultancy Services,Programme Delivery Impact,Unspecified,64092062,3630,GBP
BIS,EPSRC,01/10/2014,Other Pension Deductions,Balance Sheet,Scottish Widows,64498063,53.55,GBP
BIS,EPSRC,01/10/2014,Partnership Pension Deductions,Balance Sheet,Scottish Widows,64498064,1109.35,GBP
BIS,EPSRC,01/10/2014,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,64498065,1161.66,GBP
BIS,EPSRC,01/10/2014,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,64498066,5,GBP
BIS,EPSRC,01/10/2014,Union Deductions,Balance Sheet,PCS Union,64498067,246.06,GBP
BIS,EPSRC,01/10/2014,Union Deductions,Balance Sheet,Prospect Union,64498068,64.76,GBP
BIS,EPSRC,01/10/2014,Health & Safety (inc. Medicals & Opticians),PSU HR,Swindon Occupational Medical Services Ltd,64553309,805,GBP
BIS,EPSRC,01/10/2014,T&S UK - Other Charges,Programme Delivery Engineering,Unspecified,64557384,5,GBP
BIS,EPSRC,01/10/2014,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,64557384,10,GBP
BIS,EPSRC,01/10/2014,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,64557386,10,GBP
BIS,EPSRC,01/10/2014,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,64557386,3.5,GBP
BIS,EPSRC,01/10/2014,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,64557386,3,GBP
BIS,EPSRC,01/10/2014,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,64557386,33.45,GBP
BIS,EPSRC,01/10/2014,T&S UK - Subsistence,Admin Public Engagement with Research,Unspecified,64557387,10.45,GBP
BIS,EPSRC,01/10/2014,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,64760275,200,GBP
BIS,EPSRC,02/10/2014,T&S UK - Other Charges,Programme Delivery ICT,Unspecified,63035097,10,GBP
BIS,EPSRC,02/10/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,63035097,4.8,GBP
BIS,EPSRC,02/10/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,63035097,5.1,GBP
BIS,EPSRC,02/10/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,63035097,12.35,GBP
BIS,EPSRC,02/10/2014,Photocopy Costs,JRS,Oce (UK) Ltd,64570061,2835,GBP
BIS,EPSRC,02/10/2014,Photocopy Costs,JRS,Robert Horne Paper Co Ltd,64630062,214.27,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705066,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705067,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705068,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705069,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705070,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705071,160,GBP
BIS,EPSRC,02/10/2014,Fees (Including College Members),Admin External Panel Member payments,Unspecified,64705072,160,GBP
BIS,EPSRC,02/10/2014,T&S UK - Other Charges,Programme Delivery Manufacturing,Unspecified,64705104,2.6,GBP
BIS,EPSRC,02/10/2014,T&S UK - Other Charges,Programme Delivery Manufacturing,Unspecified,64705104,10,GBP
BIS,EPSRC,02/10/2014,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,64705104,39.6,GBP
BIS,EPSRC,02/10/2014,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,64705104,8.79,GBP
BIS,EPSRC,02/10/2014,T&S UK - Mileage,Programme Delivery Physical Sciences,Unspecified,64705105,71.25,GBP
BIS,EPSRC,02/10/2014,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,64705105,10,GBP
BIS,EPSRC,02/10/2014,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,64705105,18,GBP
