DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,01/04/2015,Telecoms - Calls Fax & internet Costs,PSU IS,Telecoms World Plc,82980109,16.78,GBP
BIS,EPSRC,01/04/2015,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,82980130,200,GBP
BIS,EPSRC,02/04/2015,Contract Staff,EPSRC Projects,Capita Business Services Ltd,81837405,1090.14,GBP
BIS,EPSRC,02/04/2015,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,82040064,189,GBP
BIS,EPSRC,02/04/2015,Staff Training,EPSRC Corporate Services,Pearn Kandola LLP,82273374,1200,GBP
BIS,EPSRC,02/04/2015,Legal & Professional Services,Turing Programme Delivery,PERRETT LAVER LTD,82273408,6048,GBP
BIS,EPSRC,02/04/2015,Agency Staff,Admin RCUK Strategy Unit,Brook Street (Uk) Ltd,82491264,213.66,GBP
BIS,EPSRC,02/04/2015,Fellowships,NC ICT,Royal Academy of Engineering,82589771,106554.6,GBP
BIS,EPSRC,02/04/2015,Hardware/Software Maintenance,JRS,Oce (UK) Ltd,82862244,3226.8,GBP
BIS,EPSRC,02/04/2015,Agency Staff,Admin RCUK Strategy Unit,Brook Street (Uk) Ltd,82874122,534.14,GBP
BIS,EPSRC,02/04/2015,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,82874143,45,GBP
BIS,EPSRC,02/04/2015,Mechanical & Electrical Maintenance,Programme Delivery Manufacturing,Banner Business Services Limited,82887183,22.18,GBP
BIS,EPSRC,02/04/2015,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,82887183,2.33,GBP
BIS,EPSRC,02/04/2015,Printing & Stationery,Admin RCUK Strategy Unit,Banner Business Services Limited,82888060,24.98,GBP
BIS,EPSRC,02/04/2015,Marketing & PR,Communications and Stakeholder Engagement,Unspecified,82901061,689.4,GBP
BIS,EPSRC,02/04/2015,Secondments,Web/EDRM Delivery,RCUK Shared Services Centre Ltd,82910262,19391.53,GBP
BIS,EPSRC,02/04/2015,Contract Staff,Digital Communications,Capita Business Services Ltd,82910294,2874.96,GBP
BIS,EPSRC,02/04/2015,Contract Staff,EPSRC Projects,Capita Business Services Ltd,82910299,-141.55,GBP
BIS,EPSRC,02/04/2015,Contract Staff,EPSRC Projects,Capita Business Services Ltd,82910299,-28.31,GBP
BIS,EPSRC,02/04/2015,Contract Staff,EPSRC Projects,Capita Business Services Ltd,82910299,1260,GBP
BIS,EPSRC,02/04/2015,Marketing & PR,Communications and Stakeholder Engagement,Doggett and Jones Ltd,82910487,2940,GBP
BIS,EPSRC,02/04/2015,Marketing & PR,Communications and Stakeholder Engagement,Doggett and Jones Ltd,82910488,1770,GBP
BIS,EPSRC,02/04/2015,SSC Service Charges,Admin Peer Review and Output (excluding external panel member fees),RCUK Shared Services Centre Ltd,82910632,384.02,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,82910670,1.3,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,82910670,3.6,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,82910670,47,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,82910670,0.95,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,82910670,9.75,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,82910671,11.64,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,82910672,12.1,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,82910672,7.4,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,82910673,7,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,82910673,13,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,82910673,5.5,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,82910673,5.85,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,82910673,10,GBP
BIS,EPSRC,02/04/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,82910674,10.5,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,82910674,3.6,GBP
BIS,EPSRC,02/04/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,82910674,4.69,GBP
