DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327979,121.01,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,89327980,115,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,89327981,143.75,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Programme Delivery Leaders,Non Employee Expenses Supplier,89327982,183.35,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327983,92.86,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327984,86,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327985,86.07,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327986,890,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327987,197.23,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327988,2195.56,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327989,156.6,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89327990,198.6,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Programme Delivery Energy,Non Employee Expenses Supplier,89327991,257.55,GBP
BIS,EPSRC,01/07/2015,Fees (Including College Members),Programme Delivery Energy,Non Employee Expenses Supplier,89327992,160,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Newton Programme Delivery,Non Employee Expenses Supplier,89327993,1702.32,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Newton Programme Delivery,Non Employee Expenses Supplier,89327994,2719.65,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Newton Programme Delivery,Non Employee Expenses Supplier,89327995,1159.26,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Newton Programme Delivery,Non Employee Expenses Supplier,89327996,945.3,GBP
BIS,EPSRC,01/07/2015,Fees (Including College Members),Programme Delivery Energy,Non Employee Expenses Supplier,89327997,320,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,89327998,29.4,GBP
BIS,EPSRC,01/07/2015,Fees (Including College Members),Strategy,Non Employee Expenses Supplier,89327999,160,GBP
BIS,EPSRC,01/07/2015,Non-staff travel and subsistance,Associate Director Operations,Non Employee Expenses Supplier,89328000,16.3,GBP
