DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,01/05/2015,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,81872071,-0.02,GBP
BIS,EPSRC,01/05/2015,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,81872071,31.03,GBP
BIS,EPSRC,01/05/2015,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,81872071,154.99,GBP
BIS,EPSRC,01/05/2015,Conferences & Seminars,Admin Peer Review and Output (excluding external panel member fees),Calder Conference Ltd,82533396,561.36,GBP
BIS,EPSRC,01/05/2015,Conferences & Seminars,Admin Peer Review and Output (excluding external panel member fees),Calder Conference Ltd,82533396,5454.86,GBP
BIS,EPSRC,01/05/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,85286060,103.44,GBP
BIS,EPSRC,01/05/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,85286066,1020.46,GBP
BIS,EPSRC,01/05/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,85287072,291.56,GBP
BIS,EPSRC,01/05/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,85287074,145.78,GBP
BIS,EPSRC,01/05/2015,Meetings & Catering,Programme Delivery Manufacturing,UOE Accommodation Limited T/A Edinburgh First,85304082,144.8,GBP
BIS,EPSRC,01/05/2015,Consumables,JRS,Axis,85309078,104.83,GBP
BIS,EPSRC,01/05/2015,Marketing & PR,Communications and Stakeholder Engagement,Technology Strategy Board,85313064,3635,GBP
BIS,EPSRC,01/05/2015,Legal & Professional Services,Research Careers and Diversity,Higher Education Statistics Agency Ltd,85315128,9600,GBP
BIS,EPSRC,01/05/2015,Hardware/Software Maintenance,JRS,Data Capture Solutions Ltd,85315130,5175.58,GBP
BIS,EPSRC,01/05/2015,Hospitality,Programme Delivery Infrastructure,Calder Conference Ltd,85315273,999.77,GBP
BIS,EPSRC,01/05/2015,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,85315342,28.8,GBP
BIS,EPSRC,01/05/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,85315342,40,GBP
BIS,EPSRC,01/05/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,85315342,77.85,GBP
BIS,EPSRC,01/05/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,85315343,16.4,GBP
