Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,02/12/2013,Safety Materials & Equipment,JRS,RS Components,34213907,4.2,GBP
BIS,EPSRC,02/12/2013,Safety Materials & Equipment,JRS,RS Components,34213907,21,GBP
BIS,EPSRC,02/12/2013,Safety Materials & Equipment,JRS,RS Components,35794088,-25.2,GBP
BIS,EPSRC,02/12/2013,Other Programme Costs,Hector Recurrent,UOE (HPCX) Ltd,36282931,192438,GBP
BIS,EPSRC,02/12/2013,Printing & Stationery,External communications,Motiv Business Gifts,36345040,492,GBP
BIS,EPSRC,02/12/2013,Printing & Stationery,External communications,Motiv Business Gifts,36449243,262.8,GBP
BIS,EPSRC,02/12/2013,Printing & Stationery,Programme Delivery Manufacturing,Banner Business Services Limited,36538907,-20.32,GBP
BIS,EPSRC,02/12/2013,Printing & Stationery,Programme Delivery Manufacturing,Banner Business Services Limited,36641331,20.32,GBP
BIS,EPSRC,02/12/2013,Agency Staff,Digital Communications,Reed Specialist Recruitment Ltd,36780911,255.84,GBP
BIS,EPSRC,02/12/2013,Conferences & Seminars,Programme Delivery Manufacturing,Makeney Hall Hotel,37419931,6734.55,GBP
BIS,EPSRC,02/12/2013,Consultancy Services,Admin Peer Review and Output (excluding external panel member fees),Saffron Interactive,37420187,7200,GBP
BIS,EPSRC,02/12/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,37436180,68,GBP
BIS,EPSRC,02/12/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,37436182,68,GBP
BIS,EPSRC,02/12/2013,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,37437142,2.1,GBP
BIS,EPSRC,02/12/2013,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,37437142,30.8,GBP
BIS,EPSRC,02/12/2013,Staff Training,Strategy,Unspecified,37437720,800,GBP
BIS,EPSRC,02/12/2013,Printing & Stationery,HR and Office Facilities,XMA Ltd,37444119,42.05,GBP
