Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,01/10/2013,Research Grant Expenditure,User Led Research and Knowledge Transfer,Biotechnology & Biological Sciences Research Council,17358533,33096.99,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,-24.64,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
BIS,EPSRC,01/10/2013,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Express by Holiday Inn Swindon City Centre,30407186,59.23,GBP
