DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374310,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374311,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374313,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374314,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374315,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374319,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374320,160,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,89374321,160,GBP
BIS,EPSRC,03/08/2015,Consumables,JRS,Banner Business Services Limited,89376574,1,GBP
BIS,EPSRC,03/08/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,89376848,3.4,GBP
BIS,EPSRC,03/08/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,89376848,16.2,GBP
BIS,EPSRC,03/08/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,89376848,2.15,GBP
BIS,EPSRC,03/08/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,89376848,5,GBP
BIS,EPSRC,03/08/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,89376848,9.89,GBP
BIS,EPSRC,03/08/2015,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,89377185,45,GBP
BIS,EPSRC,03/08/2015,Non-staff travel and subsistance,Communications and Stakeholder Engagement,Non Employee Expenses Supplier,89377233,146.89,GBP
BIS,EPSRC,03/08/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,89377234,116.35,GBP
BIS,EPSRC,03/08/2015,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,89377235,93.9,GBP
BIS,EPSRC,03/08/2015,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,89377236,160,GBP
BIS,EPSRC,03/08/2015,Non-staff travel and subsistance,Programme Delivery Manufacturing,Non Employee Expenses Supplier,89377237,63,GBP
BIS,EPSRC,03/08/2015,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,89377238,78.9,GBP
BIS,EPSRC,04/08/2015,Non-staff travel and subsistance,Turing Programme Delivery,Non Employee Expenses Supplier,89375308,501.11,USD
BIS,EPSRC,04/08/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,89375936,643.42,EUR
BIS,EPSRC,04/08/2015,SSC Service Charges,PSU IS,Kelway (UK) Limited,89376953,6.36,GBP
BIS,EPSRC,04/08/2015,SSC Service Charges,PSU IS,Kelway (UK) Limited,89376953,4042.13,GBP
BIS,EPSRC,04/08/2015,Printing & Stationery,JRS,POSITIVE MEDIA PROMOTIONS LTD,89377750,2643,GBP
BIS,EPSRC,04/08/2015,Consumables,JRS,Premier Paper Group Ltd,89377851,48.18,GBP
BIS,EPSRC,04/08/2015,Consumables,JRS,Premier Paper Group Ltd,89377851,94.91,GBP
BIS,EPSRC,04/08/2015,T&S UK - Other Charges,Newton Programme Management Team,Unspecified,89378047,22.03,GBP
BIS,EPSRC,04/08/2015,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,89378047,41.87,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,89378047,4.32,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,89378047,7.51,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,89378047,27.7,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,89378047,40,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,89378048,5,GBP
BIS,EPSRC,04/08/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,89378048,18.8,GBP
BIS,EPSRC,04/08/2015,Equipment Rentals Under Operating Leases,JRS,Konica Minolta Business Sol UK,89378178,2390.72,GBP
BIS,EPSRC,04/08/2015,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,89378269,0.01,GBP
