DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,01/06/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,87298693,103.44,GBP
BIS,EPSRC,01/06/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,87298694,206.89,GBP
BIS,EPSRC,01/06/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,87298696,103.44,GBP
BIS,EPSRC,01/06/2015,Printing & Stationery,Strategy,Banner Business Services Limited,87316142,59.81,GBP
BIS,EPSRC,01/06/2015,Consumables,JRS,Banner Business Services Limited,87316143,21.19,GBP
BIS,EPSRC,01/06/2015,Printing & Stationery,JRS,In2Print,87359536,176.4,GBP
BIS,EPSRC,02/06/2015,Staff Training,EPSRC Corporate Services,Unspecified,84704061,1252.92,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Other Charges,RCUK-Newton Activity,Unspecified,85285199,3,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285199,9.28,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285199,9.5,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285199,20,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Other Charges,RCUK-Newton Activity,Unspecified,85285200,0.95,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285200,6.01,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285200,11.61,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285200,15,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,85285200,18.89,GBP
BIS,EPSRC,02/06/2015,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,85285201,9.44,GBP
BIS,EPSRC,02/06/2015,T&S UK - Other Charges,Admin RCUK Strategy Unit,Unspecified,85378104,115.88,GBP
BIS,EPSRC,02/06/2015,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,86542109,7.13,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86611167,160,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86611168,160,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86611169,160,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86611174,160,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86611175,160,GBP
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,86783564,160,GBP
BIS,EPSRC,02/06/2015,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,87296871,1839.5,CAD
BIS,EPSRC,02/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87296873,304.62,EUR
BIS,EPSRC,02/06/2015,T&S UK - Public Transport,Chief Executive,Non Employee Expenses Supplier,87377060,160.06,GBP
BIS,EPSRC,02/06/2015,T&S UK - Subsistence,Chief Executive,Non Employee Expenses Supplier,87377061,50,GBP
