DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,01/09/2015,Other Pension Deductions,Balance Sheet,Scottish Widows,89452530,53.55,GBP
BIS,EPSRC,01/09/2015,Partnership Pension Deductions,Balance Sheet,Scottish Widows,89452531,1011.26,GBP
BIS,EPSRC,01/09/2015,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,89452532,1161.66,GBP
BIS,EPSRC,01/09/2015,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,89452533,5,GBP
BIS,EPSRC,01/09/2015,Union Deductions,Balance Sheet,PCS Union,89452534,251.83,GBP
BIS,EPSRC,01/09/2015,Union Deductions,Balance Sheet,Prospect Union,89452535,65.74,GBP
BIS,EPSRC,01/09/2015,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,89452539,189.51,GBP
BIS,EPSRC,01/09/2015,Equipment Rentals Under Operating Leases,JRS,Oce (UK) Finance Ltd,89454300,230.62,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454301,26.71,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,26.64,GBP
BIS,EPSRC,01/09/2015,Hardware/Software Maintenance,JRS,Xerox (Uk) Ltd,89454302,41.29,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,13.33,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,73.66,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,92.76,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,109,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,115.79,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89454304,149.69,GBP
BIS,EPSRC,01/09/2015,Printing & Stationery,JRS,PG Events Ltd,89454417,2358,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Admin RCUK Strategy Unit,Enterprise Rent-A-Car UK Ltd,89454491,41.75,GBP
BIS,EPSRC,01/09/2015,Tax Advice,Programme Delivery Digital Economy,Enterprise Rent-A-Car UK Ltd,89454491,68.38,GBP
BIS,EPSRC,01/09/2015,Tax Advice,Programme Delivery Engineering,Enterprise Rent-A-Car UK Ltd,89454491,65.5,GBP
BIS,EPSRC,01/09/2015,Tax Advice,Programme Delivery Healthcare,Enterprise Rent-A-Car UK Ltd,89454491,153.15,GBP
BIS,EPSRC,01/09/2015,T&S UK - Public Transport,Programme Delivery GU,Enterprise Rent-A-Car UK Ltd,89454515,53.5,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Communications and Stakeholder Engagement,Enterprise Rent-A-Car UK Ltd,89454515,47.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Engineering,Enterprise Rent-A-Car UK Ltd,89454515,47.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Impact,Enterprise Rent-A-Car UK Ltd,89454515,65.15,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,89454515,47.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,89454515,353.24,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Admin Research Base Director,Enterprise Rent-A-Car UK Ltd,89454530,35.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Communications and Stakeholder Engagement,Enterprise Rent-A-Car UK Ltd,89454530,29.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Director BI/BR,Enterprise Rent-A-Car UK Ltd,89454530,47.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,89454530,46.19,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,89454530,47.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,89454530,68.38,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,89454530,132.43,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Admin Business Innovation Director,Enterprise Rent-A-Car UK Ltd,89454535,29.75,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Healthcare,Enterprise Rent-A-Car UK Ltd,89454535,59.5,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,89454535,47.74,GBP
BIS,EPSRC,01/09/2015,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,89454535,69.37,GBP
BIS,EPSRC,01/09/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,89454997,7.15,GBP
BIS,EPSRC,01/09/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,89454997,8.26,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,52.39,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,130.67,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,221.65,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,259.62,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,273.82,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,316.2,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,319.34,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,326.57,GBP
BIS,EPSRC,01/09/2015,Photocopy Costs,JRS,Xerox (Uk) Ltd,89455042,428.23,GBP
